,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
1,C,Short,39666.753906,30000,0.0,0.04,1,0.8232,-999.9999999470672,-999.9999999899628,-8.115911227871963e-11,-1.5716750272761857e-11,1.2245778124652938e-10,2.424045811885749e-11,2.7618423430724096e-07,5.467053458477666e-08,-0.004152472590182554,-2.2519615772380146e-06,0.27397260051618866,0.2739726023091281
2,C,Short,39666.753906,50000,0.0,0.04,8,0.8232,-24.548836498651422,-29.851412348306667,-0.19238837281181023,-0.18604734490751096,-0.029139099660816365,-0.026851896932008894,-525.7491910308829,-484.48178749435,979622.0146541985,2472.2700465315797,-39.9755337669721,-38.58571943178319
3,C,Short,39666.753906,45000,0.0,0.04,13,0.8232,-184.36789080540234,-204.3827089702536,-0.09299433078019094,-0.08924380260744583,-0.004450402276931291,-0.0038487221127767334,-130.48335618303537,-112.84242345778488,147072.81548265493,347.4963302886856,-29.559624661437862,-28.223820106761494
4,C,Short,39666.753906,44000,0.0,0.04,5,0.8232,-129.25533907816123,-156.564325479324,-0.1691930246217482,-0.1586398836550062,-0.01815007413851286,-0.014982387485469937,-204.6731648058053,-168.9520736717649,608209.6438438372,1373.4282777366539,-21.807263646814818,-20.361627897946043
5,C,Short,39666.753906,42000,0.0,0.04,1,0.8232,-88.41513950193114,-144.95876452524453,-0.4206627125041587,-0.3601755796488574,-0.12764792677600706,-0.08371479498533575,-287.88978992331226,-188.8055321422695,4308256.961433724,7731.764406575941,-11.251033219292017,-9.593851497228968
6,C,Short,39666.753906,53000,0.0,0.04,3,0.8232,-0.043448706418831355,-0.07620305614475642,-0.5565667145436467,-0.5376343338113391,-0.2871095055883667,-0.26671856472600136,-1942.5907808247407,-1804.625116294063,9705843.443632394,24700.537764451932,-44.92329160632714,-43.36720551874018
7,C,Short,39666.753906,60000,0.0,0.04,2,0.8232,-4.386853264421239e-09,-1.3037085149603836e-08,-1.143185782503792,-1.114479195470736,-1.26902550391847,-1.2046664503203706,-5724.17421822293,-5433.87080495194,42952552.04372502,111706.92645955792,-62.09237164404338,-60.51940797099923
8,C,Short,39666.753906,70000,0.0,0.04,5,0.8232,-1.3493211615228605e-06,-2.191643718405843e-06,-0.6340195221449992,-0.6253589009136897,-0.38513043661291735,-0.3743350370981182,-4343.00514273635,-4221.268527933848,13023979.911391256,34680.95003965954,-85.48212632123276,-84.29573985119035
9,C,Short,39666.753906,55000,0.0,0.04,12,0.8232,-11.51275079059321,-13.540722766659655,-0.1753366801838068,-0.17145442859946725,-0.024947466376451007,-0.023659251202681773,-675.180963981188,-640.3165673440321,838279.3406488964,2177.4962995681685,-54.35726471796387,-53.08090803270152
10,C,Short,39666.753906,70000,0.0,0.04,28,0.8232,-4.414704222452929,-4.845247086676181,-0.12855509999221654,-0.12725310308734158,-0.013478951387802937,-0.01316195953434691,-851.1902408446645,-831.1723355695422,451563.919725516,1207.8777877434104,-90.9463780762209,-89.94758593001538
Options, , ,39666.753906,,0.0,0.04,,,-1442.5581109043862,-1554.219386427253,-0.05791132860977107,-0.06679930829589165,-0.010763545595357324,-0.010599238419243706,-69.65940476312451,-67.03140014835162,362383.81507108884,976.6057268340218,-7.62530654080386,-7.96722841930842
